problem;method;seed;is_train_solved;is_test_solved;train_error;test_error;generation
SL;None;1001;False;False;80.0;375.0;300
SL;None;1002;False;False;110.0;565.0;300
SL;None;1003;False;False;67.0;324.0;300
SL;None;1004;False;False;40.0;210.0;300
SL;None;1005;False;False;80.0;275.0;300
SL;None;1006;False;False;65.0;265.0;300
SL;None;1007;False;False;65.0;230.0;300
SL;None;1008;False;False;125.0;670.0;300
SL;None;1009;False;False;80.0;350.0;300
SL;None;1010;False;False;115.0;655.0;300
SL;None;1011;False;False;80.0;345.0;300
SL;None;1012;False;False;120.0;625.0;300
SL;None;1013;False;False;65.0;280.0;300
SL;None;1014;False;False;143.0;929.0;300
SL;None;1015;False;False;120.0;1055.0;300
SL;None;1016;False;False;130.0;1095.0;300
SL;None;1017;False;False;125.0;680.0;300
SL;None;1018;False;False;10.0;166.0;300
SL;None;1019;False;False;30.0;135.0;300
SL;None;1020;True;True;0.0;0.0;118
SL;None;1021;False;False;70.0;305.0;300
SL;Rand+Tested-bad;1001;False;False;175.0;1789.0;300
SL;Rand+Tested-bad;1002;False;False;35.0;275.0;300
SL;Rand+Tested-bad;1003;False;False;195.0;2445.0;300
SL;Rand+Tested-bad;1004;False;False;135.0;620.0;300
SL;Rand+Tested-bad;1005;False;False;120.0;595.0;300
SL;Rand+Tested-bad;1006;False;False;130.0;610.0;300
SL;Rand+Tested-bad;1007;False;False;130.0;660.0;300
SL;Rand+Tested-bad;1008;False;False;195.0;2059.0;300
SL;Rand+Tested-bad;1009;False;False;125.0;680.0;300
SL;Rand+Tested-bad;1010;False;False;188.0;2072.0;300
SL;Rand+Tested-bad;1011;False;False;125.0;680.0;300
SL;Rand+Tested-bad;1012;False;False;227.0;2042.0;300
SL;Rand+Tested-bad;1013;False;False;249.0;2769.0;300
SL;Rand+Tested-bad;1014;False;False;143.0;929.0;300
SL;Rand+Tested-bad;1015;False;False;140.0;605.0;300
SL;Rand+Tested-bad;1016;False;False;215.0;2460.0;300
SL;Rand+Tested-bad;1017;False;False;228.0;2150.0;300
SL;Rand+Tested-bad;1018;False;False;140.0;670.0;300
SL;Rand+Tested-bad;1019;False;False;259.0;2582.0;300
SL;Rand+Tested-bad;1020;False;False;120.0;545.0;300
SL;Rand+Tested-bad;1021;False;False;125.0;610.0;300
SL;Rand+Tested-good;1001;True;True;0.0;0.0;39
SL;Rand+Tested-good;1002;True;True;0.0;0.0;12
SL;Rand+Tested-good;1003;True;True;0.0;0.0;13
SL;Rand+Tested-good;1004;True;True;0.0;0.0;38
SL;Rand+Tested-good;1005;True;True;0.0;0.0;19
SL;Rand+Tested-good;1006;True;True;0.0;0.0;51
SL;Rand+Tested-good;1007;True;True;0.0;0.0;142
SL;Rand+Tested-good;1008;False;False;65.0;418.0;300
SL;Rand+Tested-good;1009;True;True;0.0;0.0;61
SL;Rand+Tested-good;1010;True;True;0.0;0.0;16
SL;Rand+Tested-good;1011;True;True;0.0;0.0;33
SL;Rand+Tested-good;1012;True;True;0.0;0.0;31
SL;Rand+Tested-good;1013;True;True;0.0;0.0;30
SL;Rand+Tested-good;1014;True;True;0.0;0.0;24
SL;Rand+Tested-good;1015;True;True;0.0;0.0;21
SL;Rand+Tested-good;1016;True;True;0.0;0.0;27
SL;Rand+Tested-good;1017;True;True;0.0;0.0;70
SL;Rand+Tested-good;1018;True;True;0.0;0.0;43
SL;Rand+Tested-good;1019;True;True;0.0;0.0;11
SL;Rand+Tested-good;1020;False;False;40.0;220.0;300
SL;Rand+Tested-good;1021;True;True;0.0;0.0;41
SL;Rand+Mixed;1001;False;False;44.0;301.0;300
SL;Rand+Mixed;1002;False;False;70.0;300.0;300
SL;Rand+Mixed;1003;False;False;40.0;290.0;300
SL;Rand+Mixed;1004;False;False;65.0;285.0;300
SL;Rand+Mixed;1005;True;True;0.0;0.0;103
SL;Rand+Mixed;1006;True;True;0.0;0.0;14
SL;Rand+Mixed;1007;True;True;0.0;0.0;102
SL;Rand+Mixed;1008;True;True;0.0;0.0;190
SL;Rand+Mixed;1009;True;True;0.0;0.0;35
SL;Rand+Mixed;1010;True;True;0.0;0.0;277
SL;Rand+Mixed;1011;True;True;0.0;0.0;29
SL;Rand+Mixed;1012;False;False;70.0;320.0;300
SL;Rand+Mixed;1013;True;True;0.0;0.0;84
SL;Rand+Mixed;1014;True;True;0.0;0.0;83
SL;Rand+Mixed;1015;True;True;0.0;0.0;64
SL;Rand+Mixed;1016;True;True;0.0;0.0;113
SL;Rand+Mixed;1017;True;True;0.0;0.0;147
SL;Rand+Mixed;1018;False;False;95.0;335.0;300
SL;Rand+Mixed;1019;True;True;0.0;0.0;27
SL;Rand+Mixed;1020;True;True;0.0;0.0;25
SL;Rand+Mixed;1021;True;True;0.0;0.0;177
SL;Adapt+Mixed;1001;False;False;165.0;2250.0;300
SL;Adapt+Mixed;1002;True;True;0.0;0.0;12
SL;Adapt+Mixed;1003;True;True;0.0;0.0;26
SL;Adapt+Mixed;1004;True;True;0.0;0.0;47
SL;Adapt+Mixed;1005;True;True;0.0;0.0;58
SL;Adapt+Mixed;1006;True;True;0.0;0.0;249
SL;Adapt+Mixed;1007;True;True;0.0;0.0;84
SL;Adapt+Mixed;1008;True;True;0.0;0.0;22
SL;Adapt+Mixed;1009;True;True;0.0;0.0;41
SL;Adapt+Mixed;1010;True;True;0.0;0.0;28
SL;Adapt+Mixed;1011;True;True;0.0;0.0;22
SL;Adapt+Mixed;1012;False;False;70.0;320.0;300
SL;Adapt+Mixed;1013;True;True;0.0;0.0;36
SL;Adapt+Mixed;1014;True;True;0.0;0.0;31
SL;Adapt+Mixed;1015;True;True;0.0;0.0;14
SL;Adapt+Mixed;1016;True;True;0.0;0.0;27
SL;Adapt+Mixed;1017;True;True;0.0;0.0;105
SL;Adapt+Mixed;1018;False;False;95.0;335.0;300
SL;Adapt+Mixed;1019;True;True;0.0;0.0;55
SL;Adapt+Mixed;1020;True;True;0.0;0.0;19
SL;Adapt+Mixed;1021;False;False;259.0;3086.0;300
CSL;None;1001;False;False;11.0;305.0;300
CSL;None;1002;False;False;7.0;188.0;300
CSL;None;1003;False;False;10.0;177.0;300
CSL;None;1004;False;False;8.0;1000250.0;300
CSL;None;1005;False;False;7.0;162.0;300
CSL;None;1006;False;False;9.0;224.0;300
CSL;None;1007;False;False;17.0;238.0;300
CSL;None;1008;False;False;12.0;165.0;300
CSL;None;1009;False;False;10.0;171.0;300
CSL;None;1010;False;False;1.0;37.0;300
CSL;None;1011;False;False;10.0;11000210.0;300
CSL;None;1012;False;False;14.0;286.0;300
CSL;None;1013;False;False;13.0;353.0;300
CSL;None;1014;False;False;11.0;215.0;300
CSL;None;1015;False;False;5.0;215.0;300
CSL;None;1016;False;False;7.0;8000174.0;300
CSL;None;1017;False;False;18.0;321.0;300
CSL;None;1018;False;False;4.0;219.0;300
CSL;None;1019;False;False;12.0;214.0;300
CSL;None;1020;False;False;10.0;144.0;300
CSL;None;1021;True;True;0.0;0.0;194
CSL;Rand+Tested-bad;1001;False;False;13.0;296.0;300
CSL;Rand+Tested-bad;1002;False;False;22.0;309.0;300
CSL;Rand+Tested-bad;1003;False;False;19.0;295.0;300
CSL;Rand+Tested-bad;1004;False;False;10.0;260.0;300
CSL;Rand+Tested-bad;1005;False;False;17.0;288.0;300
CSL;Rand+Tested-bad;1006;False;False;11.0;2000212.0;300
CSL;Rand+Tested-bad;1007;False;False;15.0;228.0;300
CSL;Rand+Tested-bad;1008;False;False;14.0;170.0;300
CSL;Rand+Tested-bad;1009;False;False;17.0;384.0;300
CSL;Rand+Tested-bad;1010;False;False;13.0;266.0;300
CSL;Rand+Tested-bad;1011;False;False;11.0;202.0;300
CSL;Rand+Tested-bad;1012;False;False;11.0;222.0;300
CSL;Rand+Tested-bad;1013;False;False;11.0;170.0;300
CSL;Rand+Tested-bad;1014;False;False;18.0;338.0;300
CSL;Rand+Tested-bad;1015;False;False;14.0;306.0;300
CSL;Rand+Tested-bad;1016;False;False;11.0;290.0;300
CSL;Rand+Tested-bad;1017;False;False;14.0;192.0;300
CSL;Rand+Tested-bad;1018;False;False;12.0;311.0;300
CSL;Rand+Tested-bad;1019;False;False;11.0;174.0;300
CSL;Rand+Tested-bad;1020;False;False;13.0;210.0;300
CSL;Rand+Tested-bad;1021;False;False;13.0;147.0;300
CSL;Rand+Tested-good;1001;True;True;0.0;0.0;167
CSL;Rand+Tested-good;1002;True;True;0.0;0.0;99
CSL;Rand+Tested-good;1003;True;True;0.0;0.0;130
CSL;Rand+Tested-good;1004;False;False;1.0;28.0;300
CSL;Rand+Tested-good;1005;True;True;0.0;0.0;237
CSL;Rand+Tested-good;1006;True;True;0.0;0.0;93
CSL;Rand+Tested-good;1007;True;False;0.0;7.0;84
