problem;method;seed;is_train_solved;is_test_solved;train_error;test_error;generation
SL;None;1001;False;False;80.0;375.0;300
SL;None;1002;False;False;110.0;565.0;300
SL;None;1003;False;False;67.0;324.0;300
SL;None;1004;False;False;40.0;210.0;300
SL;None;1005;False;False;80.0;275.0;300
SL;None;1006;False;False;65.0;265.0;300
SL;None;1007;False;False;65.0;230.0;300
SL;None;1008;False;False;125.0;670.0;300
SL;None;1009;False;False;80.0;350.0;300
SL;None;1010;False;False;115.0;655.0;300
SL;None;1011;False;False;80.0;345.0;300
SL;None;1012;False;False;120.0;625.0;300
SL;None;1013;False;False;65.0;280.0;300
SL;None;1014;False;False;143.0;929.0;300
SL;None;1015;False;False;120.0;1055.0;300
SL;None;1016;False;False;130.0;1095.0;300
SL;None;1017;False;False;125.0;680.0;300
SL;None;1018;False;False;10.0;166.0;300
SL;None;1019;False;False;30.0;135.0;300
SL;None;1020;True;True;0.0;0.0;118
SL;None;1021;False;False;70.0;305.0;300
SL;Rand+Transferred;1001;False;False;80.0;375.0;300
SL;Rand+Transferred;1002;False;False;110.0;565.0;300
SL;Rand+Transferred;1003;False;False;95.0;630.0;300
SL;Rand+Transferred;1004;False;False;70.0;290.0;300
SL;Rand+Transferred;1005;False;False;5.0;5.0;300
SL;Rand+Transferred;1006;False;False;130.0;605.0;300
SL;Rand+Transferred;1007;False;False;130.0;660.0;300
SL;Rand+Transferred;1008;False;False;50.0;260.0;300
SL;Rand+Transferred;1009;False;False;115.0;750.0;300
SL;Rand+Transferred;1010;False;False;55.0;75.0;300
SL;Rand+Transferred;1011;False;False;120.0;800.0;300
SL;Rand+Transferred;1012;False;False;120.0;625.0;300
SL;Rand+Transferred;1013;False;False;105.0;585.0;300
SL;Rand+Transferred;1014;False;False;135.0;575.0;300
SL;Rand+Transferred;1015;False;False;90.0;385.0;300
SL;Rand+Transferred;1016;False;False;110.0;535.0;300
SL;Rand+Transferred;1017;False;False;65.0;310.0;300
SL;Rand+Transferred;1018;False;False;83.0;460.0;300
SL;Rand+Transferred;1019;False;False;120.0;580.0;300
SL;Rand+Transferred;1020;True;False;0.0;110.0;286
SL;Rand+Transferred;1021;False;False;70.0;305.0;300
SL;Adapt+Transferred;1001;False;False;80.0;345.0;300
SL;Adapt+Transferred;1002;False;False;70.0;300.0;300
SL;Adapt+Transferred;1003;False;False;95.0;1240.0;300
SL;Adapt+Transferred;1004;False;False;125.0;910.0;300
SL;Adapt+Transferred;1005;False;False;80.0;275.0;300
SL;Adapt+Transferred;1006;False;False;125.0;1265.0;300
SL;Adapt+Transferred;1007;False;False;111.0;902.0;300
SL;Adapt+Transferred;1008;False;False;75.0;315.0;300
SL;Adapt+Transferred;1009;False;False;75.0;340.0;300
SL;Adapt+Transferred;1010;False;False;25.0;155.0;300
SL;Adapt+Transferred;1011;False;False;125.0;680.0;300
SL;Adapt+Transferred;1012;False;False;15.0;135.0;300
SL;Adapt+Transferred;1013;False;False;65.0;290.0;300
SL;Adapt+Transferred;1014;False;False;95.0;330.0;300
SL;Adapt+Transferred;1015;False;False;85.0;760.0;300
SL;Adapt+Transferred;1016;False;False;90.0;375.0;300
SL;Adapt+Transferred;1017;False;False;65.0;330.0;300
SL;Adapt+Transferred;1018;False;False;140.0;670.0;300
SL;Adapt+Transferred;1019;False;False;120.0;580.0;300
SL;Adapt+Transferred;1020;False;False;35.0;230.0;300
SL;Adapt+Transferred;1021;False;False;70.0;305.0;300
CSL;None;1001;False;False;11.0;305.0;300
CSL;None;1002;False;False;7.0;188.0;300
CSL;None;1003;False;False;10.0;177.0;300
CSL;None;1004;False;False;8.0;1000250.0;300
CSL;None;1005;False;False;7.0;162.0;300
CSL;None;1006;False;False;9.0;224.0;300
CSL;None;1007;False;False;17.0;238.0;300
CSL;None;1008;False;False;12.0;165.0;300
CSL;None;1009;False;False;10.0;171.0;300
CSL;None;1010;False;False;1.0;37.0;300
CSL;None;1011;False;False;10.0;11000210.0;300
CSL;None;1012;False;False;14.0;286.0;300
CSL;None;1013;False;False;13.0;353.0;300
CSL;None;1014;False;False;11.0;215.0;300
CSL;None;1015;False;False;5.0;215.0;300
CSL;None;1016;False;False;7.0;8000174.0;300
CSL;None;1017;False;False;18.0;321.0;300
CSL;None;1018;False;False;4.0;219.0;300
CSL;None;1019;False;False;12.0;214.0;300
CSL;None;1020;False;False;10.0;144.0;300
CSL;None;1021;True;True;0.0;0.0;194
CSL;Rand+Transferred;1001;False;False;9.0;225.0;300
CSL;Rand+Transferred;1002;False;False;7.0;176.0;300
CSL;Rand+Transferred;1003;False;False;6.0;133.0;300
CSL;Rand+Transferred;1004;False;False;10.0;218.0;300
CSL;Rand+Transferred;1005;False;False;13.0;321.0;300
CSL;Rand+Transferred;1006;False;False;9.0;188.0;300
CSL;Rand+Transferred;1007;False;False;11.0;169.0;300
CSL;Rand+Transferred;1008;False;False;12.0;152.0;300
CSL;Rand+Transferred;1009;True;True;0.0;0.0;290
CSL;Rand+Transferred;1010;False;False;13.0;255.0;300
CSL;Rand+Transferred;1011;False;False;1.0;33.0;300
CSL;Rand+Transferred;1012;False;False;7.0;184.0;300
CSL;Rand+Transferred;1013;False;False;14.0;305.0;300
CSL;Rand+Transferred;1014;False;False;10.0;231.0;300
CSL;Rand+Transferred;1015;False;False;14.0;289.0;300
CSL;Rand+Transferred;1016;False;False;7.0;180.0;300
CSL;Rand+Transferred;1017;False;False;14.0;211.0;300
CSL;Rand+Transferred;1018;False;False;6.0;193.0;300
CSL;Rand+Transferred;1019;False;False;7.0;98.0;300
CSL;Rand+Transferred;1020;False;False;19.0;286.0;300
CSL;Rand+Transferred;1021;True;False;0.0;32.0;215
CSL;Adapt+Transferred;1001;False;False;11.0;320.0;300
CSL;Adapt+Transferred;1002;False;False;12.0;324.0;300
CSL;Adapt+Transferred;1003;False;False;3.0;120.0;300
CSL;Adapt+Transferred;1004;False;False;8.0;301.0;300
CSL;Adapt+Transferred;1005;False;False;3.0;178.0;300
CSL;Adapt+Transferred;1006;False;False;10.0;274.0;300
CSL;Adapt+Transferred;1007;False;False;7.0;2000313.0;300
CSL;Adapt+Transferred;1008;False;False;12.0;226.0;300
CSL;Adapt+Transferred;1009;False;False;5.0;213.0;300
CSL;Adapt+Transferred;1010;False;False;13.0;266.0;300
CSL;Adapt+Transferred;1011;False;False;14.0;349.0;300
CSL;Adapt+Transferred;1012;False;False;14.0;21000324.0;300
CSL;Adapt+Transferred;1013;False;False;8.0;242.0;300
CSL;Adapt+Transferred;1014;False;False;4.0;235.0;300
CSL;Adapt+Transferred;1015;False;False;3.0;248.0;300
CSL;Adapt+Transferred;1016;False;False;7.0;268.0;300
CSL;Adapt+Transferred;1017;False;False;13.0;293.0;300
CSL;Adapt+Transferred;1018;False;False;6.0;222.0;300
CSL;Adapt+Transferred;1019;True;False;0.0;44.0;237
CSL;Adapt+Transferred;1020;False;False;11.0;2000163.0;300
CSL;Adapt+Transferred;1021;False;False;10.0;196.0;300
CO;None;1001;False;False;1256.0;18996.0;300
CO;None;1002;False;False;1188.0;17727.0;300
CO;None;1003;False;False;1165.0;18177.0;300
CO;None;1004;False;False;1389.0;20390.0;300
CO;None;1005;False;False;1223.0;16931.0;300
CO;None;1006;False;False;1345.0;18960.0;300
CO;None;1007;False;False;1296.0;20650.0;300
CO;None;1008;False;False;1335.0;17137.0;300
CO;None;1009;False;False;1398.0;17454.0;300
CO;None;1010;False;False;1050.0;13219.0;300
CO;None;1011;False;False;1255.0;20339.0;300
CO;None;1012;False;False;1205.0;17073.0;300
CO;None;1013;False;False;1232.0;18798.0;300
CO;None;1014;False;False;1221.0;20380.0;300
CO;None;1015;False;False;1267.0;17953.0;300
CO;None;1016;False;False;1339.0;20457.0;300
CO;None;1017;False;False;1235.0;17233.0;300
CO;None;1018;False;False;1238.0;18260.0;300
CO;None;1019;False;False;1389.0;17164.0;300
CO;None;1020;False;False;1249.0;19065.0;300
CO;None;1021;False;False;1244.0;17235.0;300
CO;Rand+Transferred;1001;False;False;1258.0;17931.0;300
CO;Rand+Transferred;1002;False;False;1103.0;20048.0;300
CO;Rand+Transferred;1003;False;False;1162.0;19765.0;300
CO;Rand+Transferred;1004;False;False;1358.0;19758.0;300
CO;Rand+Transferred;1005;False;False;1253.0;18525.0;300
CO;Rand+Transferred;1006;False;False;1370.0;17125.0;300
CO;Rand+Transferred;1007;False;False;1314.0;19916.0;300
CO;Rand+Transferred;1008;False;False;1319.0;16768.0;300
CO;Rand+Transferred;1009;False;False;1362.0;20715.0;300
CO;Rand+Transferred;1010;False;False;1263.0;19696.0;300
CO;Rand+Transferred;1011;False;False;1289.0;17848.0;300
CO;Rand+Transferred;1012;False;False;1255.0;19728.0;300
CO;Rand+Transferred;1013;False;False;1249.0;18509.0;300
